BUURTCODE,BUURTNAAM,lane_length_m,has_lane_data
111,Binnenstad,5043.4254510443725,True
112,Bergen,4764.830724318627,True
113,Witte Dame,3334.9424839412272,True
114,Fellenoord,3176.165817543532,True
115,TU-terrein,17812.439986978472,True
211,Irisbuurt,5462.327146342767,True
212,Rochusbuurt,1119.0046337814513,True
213,Elzent-Noord,1575.9962584762554,True
214,Tuindorp,2076.917260255448,True
215,Joriskwartier,1400.583903480149,True
216,Bloemenplein,1358.218417327356,True
217,Looiakkers,1691.4489182362754,True
218,Elzent-Zuid,341.73061641549657,True
221,Kerstroosplein,2459.657702079057,True
222,Gerardusplein,2075.5588646691735,True
223,Genneperzijde,2070.5825936586753,True
224,Roosten,2758.23045387994,True
225,Eikenburg,1914.2567442319062,True
226,Sportpark Aalsterweg,2464.1001563516875,True
230,Puttense Dreef,1184.0816194189167,True
232,Burghplan,1568.0735941793778,True
233,Sintenbuurt,1762.8365578430587,True
234,Tivoli,984.4105271979488,True
235,Gijzenrooi,2830.075474481342,True
236,Nieuwe Erven,1173.916557210491,True
237,Kruidenbuurt,2109.493609581021,True
238,Schuttersbosch,1564.5484362752338,True
240,Riel,1944.8687484342527,True
311,Villapark,3962.820451016709,True
312,Lakerlopen,3933.4063595428056,True
321,Doornakkers-West,4373.912823397827,True
322,Doornakkers-Oost,1768.366762551893,True
328,Tongelresche Akkers,2943.4916051584746,True
333,"Muschberg, Geestenberg",4361.391584779463,True
334,Urkhoven,3765.829029804176,True
335,'t Hofke,5822.896799747135,True
336,Karpen,6066.0767508958315,True
337,Koudenhoven,3870.1824584073333,True
410,Limbeek-Zuid,1432.8120750106211,True
411,Limbeek-Noord,2377.4164788839016,True
412,Hemelrijken,2000.1917703294903,True
413,Gildebuurt,3533.4553731787787,True
414,Woenselse Watermolen,3532.0849808312455,True
421,Woensel-West,6644.020578369744,True
422,Kronehoef,5311.195658617104,True
423,Barrier,1364.7579562908656,True
424,Mensfort,3389.6796034348545,True
425,Rapenland,6550.981931495389,True
426,Vredeoord,2684.5565712629746,True
431,Generalenbuurt,10503.76185519064,True
432,Oude Toren,4558.825745054213,True
433,Hondsheuvels,3642.532348488119,True
434,Oude Gracht-West,7126.8242450242,True
435,Oude Gracht-Oost,4448.31130661417,True
436,Eckartdal,988.9734679486855,True
511,Driehoeksbos,8429.206565635752,True
512,Prinsejagt,6091.550665538366,True
513,Jagershoef,6191.258381153301,True
514,'t Hool,4147.670069575879,True
515,Winkelcentrum,2168.243220538876,True
516,Vlokhoven,5113.5183665702625,True
520,Kapelbeemd,1218.8555805903263,True
521,Kerkdorp Acht,8954.09466031355,True
522,Achtse Barrier-Gunterslaer,8945.836513470553,True
523,Achtse Barrier-Spaaihoef,6086.678251417806,True
524,Achtse Barrier-Hoeven,6662.592342765321,True
531,Woenselse Heide,3872.8805440242268,True
532,Tempel,7942.406948045953,True
533,Blixembosch-West,3256.6568842524493,True
534,Blixembosch-Oost,13895.592042358785,True
535,Castiliëlaan,2445.222522277716,True
541,Eckart,6000.93524497792,True
542,Luytelaer,3563.234377013559,True
543,Vaartbroek,12597.654221602279,True
544,Heesterakker,10163.873294055851,True
545,Esp,3227.154953182658,True
546,Bokt,1740.1692130821393,True
611,"Eliasterrein, Vonderkwartier",5443.844527797726,True
612,Philipsdorp,4690.4490549633665,True
613,Engelsbergen,2333.0640848436074,True
614,Schouwbroek,1401.8333887383044,True
615,Schoot,3093.264975840068,True
616,Strijp S,2806.6498829491175,True
621,Hurk,6637.0774554345,True
622,Het Ven,10238.537856577235,True
623,Lievendaal,5031.253531551094,True
624,Drents Dorp,4279.483060712439,True
625,Zwaanstraat,3495.6089479026796,True
626,Wielewaal,4043.5422421567246,True
628,Mispelhoef,11435.1629889665,True
631,BeA2,7059.812415895321,True
632,Meerbos,5597.158842341265,True
633,Grasrijk,8989.917116233424,True
634,Zandrijk,3072.784948482773,True
635,Waterrijk,4578.1841282044525,True
636,Park Forum,2933.5328134641572,True
637,Flight Forum,11512.189275142979,True
639,Bosrijk,1625.967648873982,True
640,Meerrijk,3840.9498849894017,True
711,Schrijversbuurt,3736.32715850939,True
712,Oude Spoorbaan,4047.476502644177,True
713,Hagenkamp,2454.0589930027363,True
721,Genderdal,6763.023649458211,True
722,Blaarthem,2922.5733948598927,True
723,Rapelenburg,1919.27700847303,True
724,Bennekel-Oost,4577.513187911793,True
725,"Bennekel-West, Gagelbosch",4221.562600034713,True
726,Gennep,4756.936396592396,True
731,Genderbeemd,6308.233874455196,True
732,Hanevoet,4522.34772183782,True
733,Ooievaarsnest,1236.1144245953287,True
